episodio,recompensa_total,pasos,epsilon,q_values_mean,td_errors_mean
180,-20.05000028386712,1600,0.8351114708266405,1.2561965476699484,0.025177189195376478
181,-113.20000169053674,1600,0.8342763593558139,1.547486275348791,0.08850605765339546
182,-51.20000072568655,1600,0.8334420829964581,1.3174391686610794,0.023921952979690745
183,-54.900000773370266,1600,0.8326086409134617,1.7528988815606408,0.022084997592923507
184,-73.85000108927488,1600,0.8317760322725481,1.7431002336324772,0.04843103640688394
185,-81.45000119134784,1600,0.8309442562402756,1.8024491471575195,0.08433920363566984
186,-62.700000911951065,1600,0.8301133119840353,1.9063981755613715,0.06438946013142202
187,-21.750000283122063,1600,0.8292831986720512,1.886493049583937,0.026915428578586312
188,-122.65000179409981,1600,0.8284539154733792,1.6448092452694132,0.08947924504770027
189,-104.85000151768327,1600,0.8276254615579058,1.8009980162267656,0.06526435981572423
190,-86.85000124573708,1600,0.8267978360963479,1.7653557888444744,0.05710475512304683
191,-89.20000122115016,1600,0.8259710382602516,1.9040347590248456,0.05850508679278288
192,-97.20000141113997,1600,0.8251450672219914,1.6925771042723947,0.07214843535872409
193,-35.20000050961971,1600,0.8243199221547695,1.758304494531772,0.04220851493878475
194,0.0,1600,0.8234956022326146,1.5938780883182722,0.006783990463198134
195,-2.0,1600,0.822672106630382,1.772499592291232,0.00885771989533609
196,-26.60000041499734,1600,0.8218494345237517,1.6881688575789553,0.03189972190449072
197,-125.80000156909227,1600,0.8210275850892279,1.8412040471548459,0.09000169185452359
198,-79.4500011652708,1600,0.8202065575041387,1.690642290478931,0.06707195422778214
199,-6.049999937415123,1600,0.8193863509466346,1.5012810545403854,0.01765480284037249
200,-94.6000013910234,1600,0.818566964595688,1.8070849913195266,0.07350803825858016
201,-53.60000077262521,1600,0.8177483976310923,1.6177912642703702,0.05936243682907175
202,0.0,1600,0.8169306492334613,1.5699481014690713,0.007861695838592805
203,-41.4000005684793,1600,0.8161137185842278,1.7867465690753703,0.040886726523671015
204,-18.250000320374966,1600,0.8152976048656435,1.469235818239766,0.023794766943011303
205,-39.100000474601984,1600,0.8144823072607779,1.9780294940858958,0.043087248034026145
206,-4.0,1600,0.8136678249535171,1.6248555724737646,0.009472710199300662
207,-0.9500000178813934,1600,0.8128541571285636,1.926237844498502,0.010116710256814612
208,-72.40000102296472,1600,0.812041302971435,1.959428807073246,0.06774625768438039
209,-83.40000120922923,1600,0.8112292616684635,1.821160036494554,0.06651917782355896
210,-32.9500004388392,1600,0.8104180324067951,1.7007652425619573,0.03279887726605979
211,-131.30000193044543,1600,0.8096076143743883,1.822056859837183,0.09714709814882222
212,-40.55000060796738,1600,0.8087980067600139,1.9387903649523845,0.04665605961854659
213,-5.450000088661909,1600,0.8079892087532539,1.9943210728851442,0.014630802461402404
214,-26.550000376999378,1600,0.8071812195445006,2.116005413927599,0.03420040376311414
215,-75.15000110119581,1600,0.8063740383249561,2.024953964940376,0.05590874850514638
216,-3.0,1600,0.8055676642866312,1.6070686190163883,0.009426862727968654
217,-95.95000140368938,1600,0.8047620966223445,2.0993126864080622,0.08803931682543834
218,-53.55000074580312,1600,0.8039573345257222,1.972205350025632,0.03119782863360605
219,-48.20000068843365,1600,0.8031533771911964,2.0877549930535504,0.05563653662351001
220,1.0,1600,0.8023502238140052,2.1134746952148435,0.007055165106588189
221,-9.650000154972076,1600,0.8015478735901912,1.5468925992875606,0.018526555003227665
222,-1.0,1600,0.800746325716601,2.1104105005258442,0.008434254801766619
223,-8.650000099092722,1600,0.7999455793908844,2.052243180153149,0.01730487214527383
224,-27.15000034496188,1600,0.7991456338114935,2.1441052494599453,0.018177477900678973
225,-4.0500000230968,1600,0.7983464881776821,1.894372314426447,0.010133835911525401
226,-30.650000367313623,1600,0.7975481416895044,1.5713290171011172,0.036186852284592716
227,-105.90000159665942,1600,0.7967505935478149,1.978698036251399,0.07797540282862611
228,-94.90000136941671,1600,0.7959538429542671,2.0923573704847285,0.0660508108760325
229,-21.250000320374966,1600,0.7951578891113128,2.1547909055443792,0.028213903410255977
230,-45.95000062510371,1600,0.7943627312222015,2.058151462242378,0.041551079649450005
231,-124.25000164285302,1600,0.7935683684909792,1.9855486004658205,0.09895813667931527
232,-2.0,1600,0.7927748001224882,1.8082871864829166,0.006647323014714342
233,-28.450000446289778,1600,0.7919820253223657,1.5943785108758148,0.031727055179510355
234,1.0,1600,0.7911900432970433,1.9066149499992597,0.007443510959148009
235,2.0,1600,0.7903988532537463,1.6712312968265501,0.009237461851614458
236,2.0,1600,0.7896084544004925,1.7315057152026707,0.00925669741178491
237,1.0,1600,0.7888188459460921,1.9643960324009977,0.008155979399610859
238,1.0,1600,0.788030027100146,1.6725586557192966,0.00887841669673807
239,-34.15000046789646,1600,0.7872419970730459,1.748498137821916,0.038732481813652
240,-107.80000156909227,1600,0.7864547550759728,2.2258664549168787,0.08041928623039775
241,-102.35000151395798,1600,0.7856683003208969,2.1224312077386607,0.07403092976014705
242,-42.15000059083104,1600,0.784882632020576,2.1710146306908062,0.048356822494512966
243,-90.60000133514404,1600,0.7840977493885554,2.0563730543281546,0.06450073197632894
244,-111.95000163465738,1600,0.7833136516391668,1.7872639424528953,0.08227843904560597
245,-82.65000117570162,1600,0.7825303379875276,2.315240467029196,0.05791799656021148
246,-85.60000116750598,1600,0.7817478076495401,2.0395524772605365,0.05889396003263134
247,1.0,1600,0.7809660598418906,1.8739577808457288,0.00908606383505563
248,1.0,1600,0.7801850937820487,1.7544012524315895,0.009308264431337669
249,-55.60000082850456,1600,0.7794049086882666,2.3168402095169918,0.03367663259582767
250,0.0,1600,0.7786255037795784,1.8462514815676487,0.006383684136356037
251,2.0,1600,0.7778468782757988,2.028961821909205,0.010306473288166156
252,-8.700000032782555,1600,0.777069031397523,2.0452591504500597,0.018622375125276973
253,-59.95000082999468,1600,0.7762919623661255,2.2765153776766325,0.06555574443660765
254,1.0,1600,0.7755156704037593,1.758709523411791,0.010067158588998154
255,0.0,1600,0.7747401547333556,1.8238261513747442,0.008295641208986161
256,0.0,1600,0.7739654145786222,1.9056108740032522,0.009972541808764479
257,-25.850000374019146,1600,0.7731914491640436,1.7301423020878706,0.032096961408789586
258,-3.050000049173832,1600,0.7724182577148796,2.309976513738635,0.010099764597793135
259,2.0,1600,0.7716458394571647,1.9767945874645843,0.010797329698237391
260,2.0,1600,0.7708741936177075,2.118742512273536,0.00874682532563582
